run_id,row,label,p_featured,agreement,prob,correct,deletion_auc,insertion_auc,background_reliance,background_excess,footprint_fraction
cnn_small_soft_d4_s128_full_bce_nfull_seed0,225938,1,0.545360803604126,0.09072161465883255,0.5637103915214539,1,0.9715496897697449,0.3828728199005127,0.889145562919856,0.290512750419856,0.4013671875
cnn_small_soft_d4_s128_full_bce_nfull_seed0,41547,1,0.5208333134651184,0.041666656732559204,0.40192487835884094,0,0.9837077260017395,0.8434900641441345,0.23473725310766133,-0.5748940945485886,0.19036865234375
cnn_small_soft_d4_s128_full_bce_nfull_seed0,52761,0,0.45500001311302185,0.09000000357627869,0.399723082780838,1,1.0812021493911743,1.153996467590332,0.0,-0.605712890625,0.394287109375
cnn_small_soft_d4_s128_full_bce_nfull_seed0,122091,0,0.46681174635887146,0.06637651473283768,0.2843175232410431,1,0.7040399312973022,0.9486083984375,0.7285145674918254,0.030211344835575416,0.30169677734375
cnn_small_soft_d4_s128_full_bce_nfull_seed0,80469,0,0.4736841917037964,0.05263159051537514,0.40507563948631287,1,1.1140096187591553,0.7902352213859558,0.5131156117544824,-0.05475548199551761,0.43212890625
cnn_small_soft_d4_s128_full_bce_nfull_seed0,172684,0,0.4359999895095825,0.12800002098083496,0.5073938369750977,0,0.9307403564453125,0.9996358156204224,0.6679450218072347,0.1124640647759847,0.44451904296875
cnn_small_soft_d4_s128_full_bce_nfull_seed0,140552,0,0.4189999997615814,0.16199997067451477,0.31624630093574524,1,0.7605990171432495,1.058578610420227,0.17566477691261062,-0.3163396176186394,0.50799560546875
cnn_small_soft_d4_s128_full_bce_nfull_seed0,52768,0,0.4440000057220459,0.1119999885559082,0.44692161679267883,1,0.8049033284187317,1.283832311630249,0.7614912501791741,0.12336869158542407,0.36187744140625
cnn_small_soft_d4_s128_full_bce_nfull_seed0,203419,0,0.4410000145435333,0.11800000071525574,0.34440019726753235,1,1.039484977722168,1.2282503843307495,0.0,-0.62646484375,0.37353515625
cnn_small_soft_d4_s128_full_bce_nfull_seed0,140238,0,0.4475138187408447,0.10497237741947174,0.30084455013275146,1,0.6182704567909241,0.9939846992492676,0.0,-0.46466064453125,0.53533935546875
